name;address;website;phone;emails
Salumificio De Mori Luigi;Via Vittorio Veneto, 1/B, 35020 Albignasego PD;http://www.luigidemori.it;049 862 9583;demorisrl@gmail.com
Macelleria Gastronomia Panetteria Da Bruno Carlotto;Via Europa, 19, 35020 Albignasego PD;http://www.albignasego.com;049 710088;info@albignasego.com
Macelleria Prima Qualità;Via San Tommaso, 9, 35020 Albignasego PD;;049 825 7228;
Macelleria Mingardo Paolo - Sede di Albignasego;Via 16 Marzo, 49, 35020 Albignasego PD;;331 443 9077;
Macelleria Salumeria Ongaro;Via Coldai, 10, 32022 Alleghe BL;;0437 523317;
Da Pian Toffoli Loredana;Corso Veneto, 21, 32022 Alleghe BL;;0437 721151;
Carpano Speck Srl;Via degli Artigiani, 7, 32020 Piè Falcade BL;https://www.carpanoshop.com;0437 599454;ecommerce@carpanoshop.com
Enoteca Alleghe;Piazza Kennedy, 20, 32022 Alleghe BL;https://www.facebook.com;0437 658867;
Coop;Via Monte Pape, 6, 32022 Alleghe BL;http://www.e-coop.it;0437 523640;
Signorato Salumi;Via S. Vettore, 32, 36045 Lonigo VI;https://www.signoratosalumilonigo.it;0444 832138;
Salumificio Fantin - Fantin srl;Via Vicenza, 242, 36077 Altavilla vicentina VI;http://www.fantinsrl.com;0444 348771;info@fantinsrl.com
La Pria Organic Winery;Via Roma, 43, 36045 Alonte VI;http://www.lapria.it;333 391 9209;
Salumificio Brianza S.R.L.;Via Luppia S. Zeno, 35, 35044 Montagnana PD;https://www.salumificiobrianza.it;0429 82155;u00a0info@salumificiobrianza.it info@salumificiobrianza.it
Macelleria Brandalise;Via Giacomo Matteotti, 89/L Farra d'Alpago, 32016 Alpago BL;http://macelleriabrandalise.myadj.it;0437 4233;
Fullin Leonardo & C.;Via IV Novembre, 67, 32010 Alpago BL;;347 114 0151;
Macelleria Brandalise di Brandalise Vittorio;Via Spert 4, Loc. Spert, 32016 Alpago BL;http://brandalisemacelleria.myadj.it;0437 472151;
Casa della Porchetta;Frazione Santa Croce, 32016 Santa Croce BL;;349 716 0109;
Macelleria Fantin;Via L. Da Vinci, 8, 36077 Altavilla vicentina VI;https://www.fantinsrl.com;0444 572115;info@fantinsrl.com
Salumificio Macelleria Nogara;Via Martiri Libertà, 16, 36050 Sovizzo VI;http://www.macellerianogara.it;0444 551001;
One Stop - Alimentari dal Mondo;Via Olmo, 47, 36077 Altavilla Vicentina VI;;0444 180 0120;
Salumificio Dei Castelli S.R.L.;Str. del Capitello, 13, 36075 Montecchio Maggiore-Alte Ceccato VI;;0444 492627;
Salumificio fratelli Cracco srl;Via Garavoglia, 1, 36070 Molino-mozzi-bittarelli VI;;0444 687643;
Volpiana Carni E Salumi Di Volpiana Pietro Paolo;Via Garavoglia, 18, 36070 Molino-mozzi-bittarelli VI;;0444 687897;
Caseificio Cooperativa Di Altissimo;Via Gassa, 12, 36070 Altissimo VI;http://www.caseificioaltissimo.it;0444 487114;info@caseificioaltissimo.it
Macelleria Salumificio La Rio Di Visona' Diego;Via S. Rocco, 1, 36078 Valdagno VI;;0445 402716;
La Macelleria Di Barichello Paolo;Via Roma, 5, 31030 Altivole TV;;349 212 9803;
Salumificio Piovesan S.r.l.;Via Cal Lusent, 55, 31040 Pederobba TV;http://www.salumificiopiovesan.com;0423 688718;info@salumificiopiovesan.com
Bolzon Giuseppe;Via Laguna, 28, 31030 Altivole TV;;0423 569370;
Salumificio Dolomiti F.lli Billo s.r.l.;Via Giarre di Sicilia, 36020 Cismon del Grappa VI;http://www.fratellibillo.it;0429 844516;info@fratellibillo.it
Bissoli Roberto;Via del Fante, 18, 37045 Legnago VR;;0442 20560;
Ca' de' Corti;Viale delle Terme, 73, 35031 Abano Terme PD;https://www.cadecorti.it;328 883 9505;cadecorti_at@libero.it
Macelleria F.Lli Mario Di Mario Francesco E C.;Via A. Diaz, 8, 35031 Abano Terme PD;;049 212 5837;
Macelleria da Mirco;Via Santuario, 2, 35031 Abano Terme PD;;049 667987;
Babetto Ettore & C. (S.N.C.);Via Roveri, 48, 35031 Abano Terme PD;;049 812134;
Macelleria Garon Franco & C. (S.N.C.);Viale delle Terme, 75, 35031 Abano Terme PD;;049 860 0355;
Scantamburlo Specialità Alimentari;Via Santuario, 90, 35031 Abano Terme PD;http://www.scantamburlo.net;049 866 9611;info@scantamburlo.net
Ghiraldo Enogastronomia Abano Terme;Viale delle Terme, 139, 35031 Abano Terme PD;https://www.ghiraldo.it;049 866 9160;info@ghiraldo.it
Alimentari Enoteca Marsiglio;Via Matteotti, 18, 35031 Abano Terme PD;http://www.alimentarimarsiglio.it;049 811464;info@alimentarimarsiglio.it alimentarienoteca.marsiglio@gmail.com
Salumificio F.Lli Scapocchin S.R.L.;Via Giorgio la Pira, 14, 35012 Camposampiero PD;;049 641642;
La Piccola Rosticceria;Via Santuario, 6, 35031 Abano Terme PD;;049 667154;
La Kasa dell'Orto;Via Unità d'Italia, 1, 35031 Abano Terme PD;;380 151 4677;
La Bottega di Emi;Via Monteortone, 23, 35031 Abano Terme PD;;049 689 2509;
Macelleria Prendin Marco;Corso delle Terme, 130, 35036 Montegrotto Terme PD;http://macelleriaprendin.myadj.it;049 891 1536;
Salumificio Bazza S.R.L.;Via Zona Artigianale Fossetta, 59, 35020 Terrassa padovana PD;http://www.salumificiobazza.it;049 950 1066;
Alimentare da Emi;Via Monteortone, 35031 Abano Terme PD;;;
Baraldo Dino - alimentari;Via Romana, 11, 35031 Abano Terme PD;;049 812459;
Macelleria Euganea;Via Roma, 82, 35036 Montegrotto Terme PD;https://www.facebook.com;049 793058;
Prosciuttificio Daniolo;Via Campana, 14/B, 35044 Montagnana PD;http://www.prosciuttoveneto.it;0429 81512;infoprosciuttoveneto@pec.it info@prosciuttoveneto.it
Salumificio Magri;Via Isabella Ravignana, 1, 35123 Padova PD;;;
Cantine Bernabei G.S. Di Mauro E Bianca Bernabei Snc;Via Montegrotto, 75, 35031 Abano Terme PD;https://www.cantinebernabei.com;049 793970;info@cantinebernabei.com
Bertelli Salumi;Via Frassenara, 39, 35044 Montagnana PD;http://www.bertellisalumi.it;0429 82918;info@bertellisalumi.it ordini@bertellisalumi.it
Salumeria Bertin;Piazzale Stazione, 11, 35036 Montegrotto Terme PD;https://www.angolobertin.com;049 793257;salumeria.bertin@gmail.com
Il Gusto;Via Roma, 3, 35036 Montegrotto Terme PD;https://www.ilgustodimontegrotto.it;049 810268;ilgustomt@gmail.com
Prosciuttificio di Vo srl;Via Campo Fiera, 425, 35030 Vo PD;http://www.prosciuttificiodivo.it;;
Supermercato INTERSPAR Abano Michel.;Piazza Michelangelo Buonarroti, 40/C, 35031 Abano Terme PD;https://www.despar.it;049 860 0444;
La bottega del pane di Aldo Diaferio;Via Santuario, 26, 35031 Abano Terme PD;;049 866 9112;
Brugnolo Giancarlo;Via della Resistenza, 32, 35027 Padova PD;http://www.brugnologiancarlo.it;049 625155;
Salumificio F.lli Celin Srl;Via Barbariga, 118, 30032 Fiesso VE;http://www.salumificiocelin.com;049 982 9346;commerciale@salumificiocelin.it
Supermercato EUROSPAR Abano Configl;Via Luigi Configliachi, 37/39, 35031 Abano Terme PD;https://www.despar.it;049 866 6132;
Salumificio M. Brugnolo Srl;Via Venezia, 15, 35010 Perarolo di Vigonza PD;http://www.salumificiobrugnolo.it;049 893 4222;
E. Rossato;Via Pontemanco, 19, 35020 Due Carrare PD;http://www.rossatosas.it;049 525888;info@rossatosas.it diego@rossatosas.it ilaria@rossatosas.it
Salumificio Bellin Piercarlo;Via Busi, 12b, 35044 Montagnana PD;https://salumificiobellinpiercarlo.business.site;377 679 1335;
Prosciuttificio Vittorio Soranzo S.R.L.;Via Luppia S. Zeno, 19, 35044 Montagnana PD;http://www.prosciuttoveneto.it;0429 81627;infoprosciuttoveneto@pec.it info@prosciuttoveneto.it
Consorzio Commercianti Ca' Grande;Piazza Michelangelo Buonarroti, 40, 35031 Abano Terme PD;;049 861 1135;
Salumificio Giovanni Fontana SRL;Via Schiavin, 9, 35042 Este PD;http://salumificiofontana.it;0429 2164;info@salumificiofontana.it
NaturaSì;Via Cornelio Augure, 7, 35031 Abano Terme PD;https://negozi.naturasi.it;049 863 0322;
vini pane e delizie;35036 Montegrotto Terme PD;;049 866 6631;
Prosciuttificio Soave;Via Cà del Bosco, 36B, 37038 Soave VR;http://www.prosciuttificiosoave.com;045 768 1559;
Forme e Sapori - Salumi E Formaggi - Produttori di Sopressa di Brenton De.Co.;Via Fiume, 8, 36071 Arzignano VI;http://formesapori.it;0444 453796;formesapori@hotmail.it
Italbontà s.r.l.;Via G. Galilei, 17, 35020 P.i.p. Codevigo PD;http://www.italbonta.it;049 581 7828;
Macelleria Salumi Nostrani;36040 Torri di Quartesolo VI;;;
Fresco;Via Ansuino da Forlì, 5/A, 35134 Padova PD;;049 610040;
Salumificio Bovolenta S.n.c.;SP7, 132, 45012 Rivà RO;http://www.salumificiobovolenta.com;0426 79014;
The Butcher shop macelleria salumeria;Via Monsignor F. Pozzato, 47, 45011 Adria RO;;389 646 9754;
Caniato Lucio Lucio;14, Borgo Chiappara, Adria, RO 45011, 45011 Adria RO;;0426 21666;
macelleria beni amir s.r.l.s;Via Guglielmo Marconi, 16, 45011 Adria RO;;328 259 9512;
La Macelleria di Ferrarese Alberto;Corso Vittorio Emanuele II, 109, 45011 Adria RO;;0426 21856;
Macelleria Alberto di Guerra Alberto;Via Giosuè Carducci, 41, 45011 Adria RO;;329 988 0114;
Martelli Salumi S.p.A.;Via dell'Industria, 11, 35040 Boara Pisani PD;https://www.martelli.com;0425 485811;info@martelli.com martellisalumi@martelli.com
Agricola Felisati - Srl;Località Ca' Tron, 9/A, 45011 Ca' Emo di Adria RO;https://agricolafelisati.wordpress.com;0426 46204;
Delizie del Delta - Az.Agr.Guidarini;Via Po Rivà 147, 45012 Ariano RO;;347 128 6619;
Salumificio Estense;Via Volano, 185, 44123 Ferrara FE;http://www.salumificioestense.com;0532 61444;info@salumificioestense.com
Salumi Miari S.R.L.;Via Magarino, 13, 45038 Polesella RO;;0425 447991;
Salumificio Micad - Logistica;Via Luigi Einaudi, 53, 36056 Tezze sul Brenta VI;https://www.salumificiomicad.it;0424 561138;info@salumificiomicad.it
Azienda Agricola Corte Samoro;Vicolo Samoro, 253, 45010 Ceregnano RO;https://aziendaagricolacortesamoro.business.site;340 810 7361;
Gallerani Salumi Sas Di Gallerani & C.;Via dei Calzolai, 188, 44123 Francolino FE;;0532 724236;
Pizzolato Giorgio;Via provinciale per ariano, 33, 44026 Mesola FE;http://www.pizzolatogiorgio.com;0533 790063;
Salumificio Lanzarini;Strada S. Rocco, 47, 36061 Bassano del Grappa VI;http://lanzarini.it;0424 566478;
ALDI;Via Monsignor F. Pozzato, 45, 45011 Adria RO;https://www.aldi.it;;
Salumificio Roncarati;Via Giuseppe Fabbri, 76, 44123 Ferrara FE;http://www.salumificioroncarati.it;0532 763917;
Gastronomia Le Quattro Stagioni;Corso G. Mazzini, 34, 45011 Adria RO;http://www.gastronomialequattrostagioni.it;345 269 5635;info@lgastronomialequattrostagioni.it
Macelleria Crivellaro S.N.C.;Località Botti Barbarighe, 3, 45011 Fasana Polesine RO;;0426 949081;
Bottega Veneta dal 1984 Pane Salumi Formaggi;Via Vittorio Veneto, 33, 45100 Rovigo RO;;;
Pescheria Kozza Vuostu;Corso Vittorio Emanuele II, 165, 45011 Adria RO;https://m.facebook.com;0426 22581;
Giori Antonio Macelleria Salumificio Pastafresca;Via Provinciale, 44, 44034 Cesta, FE;https://giori-antonio-macelleria-salumificio.business.site;0532 838483;
Salumificio Zironi & C. Srl;Via Roma, 72, 44027 Migliarino FE;https://www.salumificiozironi.it;0533 52079;info@salumificiozironi.it
Salumificio Micad - Produzione;Via degli Alpini, 10, 36056 Belvedere VI;http://www.salumificiomicad.it;0424 561138;info@salumificiomicad.it
Azienda Agricola Fontana Daniele;Via S. Basilio, 118, 45019 Taglio di po RO;https://m.facebook.com;;
Rossi Fabio;Via Dante Alighieri, 15, 45023 Costa di Rovigo RO;;371 561 3327;
Pescheria Ittica Rosolina - Adria;corso, Corso G. Mazzini, 7, 45011 Adria RO;http://www.itticarosolina.it;0426 41054;itticarosolina@libero.it
La Magia del Pane;Via Alberto Mario, 7, 45011 Adria RO;;;
"Sottoscala ""I Cordari""";Corso G. Mazzini, 31, 45011 Adria RO;;0426 21442;
Macelleria Bedetti Massimo;Via Fonsatti, 19, 45012 Ariano RO;https://macelleria-bedetti-massimo.business.site;324 891 9993;
Azzoni Salumificio Gastronomia;Via Roma, 25, 46026 Quistello MN;http://www.azzoniquistello.it;0376 619573;
Serenissima Salumi Azienda Agrituristica Di Semenzato Stefano;Via dei Cacciatori, 15, 30034 Dogaletto VE;;041 477107;
Salumificio Sant' Adriano;Via Coccola, 1295, 41057 Spilamberto MO;;059 783232;
Salumificio Bovo dal 1987;Via Lago di Garda, 29, 37060 Buttapietra VR;https://www.salumificiobovo.com;045 542014;
Gelmetti Albino;Via della Repubblica, 64, 37010 Affi VR;;045 723 6689;
Salumificio Effebi s.r.l;Via Boscarola, 464, 37020 Volargne VR;http://www.salumificioeffebi.com;045 686 3055;salumificioeffebi@gmail.com
Leoncini Salumi;Via Confine, 4, 37017 Lazise VR;https://leoncini.eu;045 645 9111;vendite@leoncini.com mail@leoncini.com leoncinisrl@cgmlegal.com sales@leoncini.com
Salumificio f.lli coati;Via Monti Lessini, 36, 37020 San Rocco VR;https://www.salumificiocoati.it;;
Viviani Srl;Via Giovanni Pascoli, 25, 37010 Affi VR;http://www.pescherieviviani.com;045 626 0466;ristorante@pescherieviviani.com documentivivianisrl@legalmail.it
Salumificio Freoni Danzi Srl Di Danzi Gian Paolo E Ginetta;23 Via Brennero, Loc. MORO FREONI, 37029 San Pietro In Cariano VR;http://www.salumificiofreoni.it;045 685 9001;
Salumificio F.lli COATI S.p.a.;Via L. Da Vinci, 5, 37024 Arbizzano-Santa Maria VR;http://www.salumificiocoati.it;045 775 5265;
Valentino Marconi (salumi e non solo);Loc. Pontarol, SP12, 37020 Sant'Anna D'alfaedo VR;http://www.valentinomarconi.com;324 831 8197;info@valentinomarconi.com
Gastronomia De Gusto;Via Napoleone, 9, 37010 Affi VR;https://gastronomia-de-gusto.business.site;045 626 0963;
Salumificio Valpolicella;Via Casa Rossa, 5, 37029 San Pietro in Cariano VR;http://www.salumificiovalpolicella.it;045 770 2522;
L.V. Carni;Via Pozzo dell'Amore, 21, 37010 Cavaion Veronese VR;http://www.macellerialvcarni.it;045 723 5206;
Supermercato Orvea Affi;Via G.Pascoli, 10, 37010 Affi VR;https://www.gruppopoli.it;045 723 5666;
Salumificio Manganotti Di Manganotti Vittorio E C. S.n.c.;Via Ludovico de Besi, 3, 37139 Verona VR;;045 890 3136;
Vigneto dei Salumi;Via Casa Zamboni, 3, 37024 Arbizzano-Santa Maria VR;http://www.vignetodeisalumi.it;045 751 4233;matteo.uk@vignetodeisalumi.it info@vignetodeisalumi.it
Salumificio Pavoncelli Ernesto & Figli SPA • Uffici;Via Valpolicella, 51, 37026 Santa Lucia VR;http://www.pavoncelli.it;045 715 0191;
Valfiorita Salumi;Via L. Da Vinci, 5, 37024 Arbizzano-Santa Maria VR;;;
Affi Wine Bar dal 1994;Via Giovanni Pascoli, 29, 37010 Affi VR;http://www.affiwinebar.it;045 626 7768;
Signorvino;Via S. Pieretto, 15, 37010 Affi VR;https://www.signorvino.com;045 723 8157;
IperOrvea Affi;Località Canove, 1, 37010 Affi VR;https://www.gruppopoli.it;045 626 9250;
Salumeria Lenotti;Via Cà Schena, 2, 37010 San Zeno di Montagna VR;http://www.salumerialenotti.com;045 728 5029;
Salumificio Artigiano Snc;Vicolo Ortaglia, 3, 46049 Volta Mantovana MN;;0376 83085;
Serene Wine Store & More;Via Coletto, 2, 37010 Affi VR;http://serenevinibio.it;392 447 4196;
Zenorini Fratelli Snc;Via Risorgimento, 5, 37026 Pescantina VR;https://www.zenorini.com;045 715 0011;
Salumificio Serafini S.N.C.;Via Monte Pastello, 2, 37057 San Giovanni Lupatoto VR;;045 925 1819;
Azienda agricola Valle Spaccio Carni e Salumi;Località Civel, 3, 37060 Sona VR;;;
Distinti Salumi;;;045 222 1167;
Salumificio Melotti Vittorio e figli snc;Via Zonecche, Bosco Chiesanuova VR;http://www.salumimelotti.it;045 705 0209;salumimelotti@alice.it
Salumificio La Valpantena;Via Archimede, 22, 37036 San Martino Buon Albergo VR;;045 990310;
Macelleria Alla Porchetta Salumificio Righetti;Via S. Peretto, 18, 37024 Negrar di Valpolicella VR;http://www.macelleriallaporchetta.com;045 750 0055;
La Filanda Salumeria;Via della Filanda, 50, 37012 Bussolengo VR;;045 715 0923;
Salcremona Srl Salumificio;Via Enrico Fermi, 7, 25087 Salò BS;;0365 522119;
Salumi Cobelli di Cobelli Davide e C. S.n.c.;Via Monte Pagano, 1, 46040 Cavriana MN;http://www.salumicobelli.it;0376 82253;salumicobelli@gmail.com
La Bottega Pavoncelli;Via Valpolicella, 53, 37026 Pescantina VR;http://www.labottegapavoncelli.it;342 170 2223;
Poltronieri salumi;Via Codalunga, 35/44, 37060 Gazzo Veronese VR;https://www.poltronierisalumi.com;;
Poltronieri Salumi Sas;Via Molino di Sopra, 6, 37054 Nogara VR;http://www.poltronierisalumi.com;0442 510779;
Macelleria Mascanzoni;Str. Bisavola, Fraz, 37011 Calmasino VR;http://www.mascanzonicarni.it;045 723 5160;
Artigiana salumi;Via Trevisago, 35/R, 25080 Manerba del Garda BS;;;
Macelleria Bia Federico;Via Marconi, 7, 35021 Agna PD;https://macelleria-bia-federico.business.site;049 538 1067;
